Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"MRPL35","YDR322W","mitochondria","51.22","14.52","mitochondria","81.9404","missing","0","missing","0","#N/A","35.2477","mitochondria","46.72","0.91","0","17.12","mitochondria","43.51","0.84","0","10.9","mitochondria","89.65","1.75","1","","mitochondria","mitochondria","54.8251","1.07029","0","10.6708","Mitochondrial ribosomal protein of the large subunit"
"MRPL36","YBR122C","mitochondria","50.37","10.5734","mitochondria","55.4845","missing","17.8179","below threshold","0","#N/A","0","mitochondria","47.33","0.93","0","14.81","mitochondria","41.45","0.82","0","7.56","mitochondria","35.69","0.7","0","","mitochondria","mitochondria","44.3515","0.88032","0","7.00058","Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region"
"MRPL37","YBR268W","mitochondria","46.46","10.51","mitochondria","106.735","mitochondria","","missing","10.2824","#N/A","24.4925","mitochondria","34.86","0.75","0","10.83","mitochondria","51.19","1.1","0","9.02","mitochondria","41.66","0.89","0","","mitochondria","mitochondria","32.3156","0.695491","0","5.40609","Mitochondrial ribosomal protein of the large subunit"
"MRPL38","YKL170W","mitochondria","35.73","6.40795","cytosol,nucleus","28.8102","missing","","missing","20.4517","#N/A","","mitochondria","37.09","1.03","0","11.47","mitochondria","24.81","0.69","-1","4.8","mitochondria","36.81","1.02","0","","mitochondria","mitochondria","26.8254","0.750502","0","4.19107","Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels"
"MRPL4","YLR439W","mitochondria","45.49","13.3136","mitochondria","56.6757","missing","","missing","0","#N/A","31.7259","mitochondria","46.76","1.02","0","13.38","mitochondria","56.78","1.24","0","10.09","mitochondria","47.46","1.04","0","","mitochondria","mitochondria","50.5755","1.11154","0","6.15526","Mitochondrial ribosomal protein of the large subunit"
"MRPL44","YMR225C","mitochondria","25.17","5.54076","","","","","","","","","mitochondria","27.59","1.09","0","14.95","mitochondria","20.35","0.8","0","3.49","mitochondria","22.59","0.89","0","","mitochondria","mitochondria","17.3142","0.687557","-1","2.48808","Mitochondrial ribosomal protein of the large subunit"
"MRPL49","YJL096W","mitochondria","42.62","10.4085","mitochondria","82.4219","mitochondria","18.2409","below threshold","9.27685","#N/A","0","mitochondria","44.88","1.05","0","19.64","mitochondria","22.44","0.52","-1","4.56","mitochondria","37.45","0.87","0","","mitochondria","mitochondria","33.5159","0.786172","0","8.30122","Mitochondrial ribosomal protein of the large subunit"
"MRPL50","YNR022C","mitochondria","54.34","11.0199","cytosol,nucleus","56.6762","vacuole","25.6267","punctate","40.1387","#N/A","0","mitochondria","61.45","1.13","0","16.14","mitochondria","48.8","0.89","0","9.08","mitochondria","41.45","0.76","0","","mitochondria","mitochondria","45.4883","0.836944","0","7.74058","Mitochondrial ribosomal protein of the large subunit, not essential for mitochondrial translation"
"MRPL51","YPR100W","mitochondria","44.26","8.13734","cytosol,nucleus","41.439","ER","0","missing","","#N/A","","mitochondria","43.86","0.99","0","16.05","mitochondria","29.76","0.67","0","5.77","mitochondria","54.02","1.22","0","","mitochondria","mitochondria","31.5866","0.713444","0","4.18381","Mitochondrial ribosomal protein of the large subunit"
"MRPL8","YJL063C","mitochondria","54.48","14.5153","cytosol,nucleus","37.247","nucleus","22.8977","cytosol","29.6899","#N/A","","mitochondria","","","0","","mitochondria","","","0","","mitochondria","","","","","mitochondria","mitochondria","","","0","","Mitochondrial ribosomal protein of the large subunit"
"MRPS16","YPL013C","mitochondria","39.81","8.26027","cytosol,nucleus","34.3013","cytosol,nucleus","19.1128","punctate","","#N/A","0","mitochondria","41.18","1.03","0","14.48","mitochondria","45.13","1.13","0","8.58","mitochondria","40.89","1.02","0","","mitochondria","mitochondria","30.9459","0.777297","0","6.10882","Mitochondrial ribosomal protein of the small subunit"
"MRPS17","YMR188C","mitochondria","53.51","12.6258","mitochondria","26.75","missing","19.7034","punctate","","#N/A","","mitochondria","59.29","1.1","0","20.18","mitochondria","44.88","0.83","0","7.92","mitochondria","48.5","0.9","0","","mitochondria","mitochondria","56.8075","1.06156","0","9.94847","Mitochondrial ribosomal protein of the small subunit"
"MRPS5","YBR251W","mitochondria","37.26","12.375","mitochondria","76.9984","mitochondria","23.5656","cytosol","5.36076","#N/A","24.9726","mitochondria","30.94","0.83","0","13.95","mitochondria","36.31","0.97","0","5.45","mitochondria","44.83","1.2","0","","mitochondria","mitochondria","44.8374","1.2032","0","13.1798","Mitochondrial ribosomal protein of the small subunit"
"MRS1","YIR021W","mitochondria","25.82","5.3504","cytosol","64.0775","cytosol","0","missing","78.0228","#N/A","0","mitochondria","","","0","","mitochondria","19.03","0.73","-1","2.74","mitochondria","33.77","1.3","0","","mitochondria","mitochondria","24.9431","0.965745","0","2.64543","Protein required for the splicing of two mitochondrial group I introns (BI3 in COB and AI5beta in COX1); forms a splicing complex, containing four subunits of Mrs1p and two subunits of the BI3-encoded maturase, that binds to the BI3 RNA"
"MRS2","YOR334W","mitochondria","17.39","4.15312","mitochondria","32.318","mitochondria","14.8715","mitochondria","5.4469","#N/A","24.2584","mitochondria","16.38","0.94","0","4.8","mitochondria","16.62","0.95","0","2.44","mitochondria","17.6","1.01","0","","mitochondria","mitochondria","17.0307","0.978939","0","2.18212","Mitochondrial inner membrane Mg(2+) channel, required for maintenance of intramitochondrial Mg(2+) concentrations at the correct level to support splicing of group II introns"
"MSC6","YOR354C","mitochondria","48.96","11.1872","","","","","","","","","mitochondria","58.18","1.18","0","18.16","mitochondria","60.95","1.24","0","7.91","punctate","","","","","mitochondria","mitochondria","45.9358","0.938202","0","6.2356","Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"MSD1","YPL104W","mitochondria","24.71","5.92823","mitochondria","40.697","missing","21.3215","below threshold","","#N/A","0","mitochondria","27.99","1.13","0","14.01","mitochondria","25.52","1.03","0","5.87","mitochondria","23.38","0.94","0","","mitochondria","mitochondria","29.3049","1.18567","0","4.36417","Mitochondrial aspartyl-tRNA synthetase, required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene"
"MSE1","YOL033W","mitochondria","25.81","6.32193","","","","","","","","","mitochondria","25.97","1","0","9.8","mitochondria","27.18","1.05","0","5.63","mitochondria","21.82","0.84","0","","mitochondria","mitochondria","29.1849","1.13028","0","4.24318","Mitochondrial glutamyl-tRNA synthetase, predicted to be palmitoylated"
"MSF1","YPR047W","mitochondria","22.51","5.92859","mitochondria","83.3833","missing","16.2732","mitochondria","0","#N/A","58.6764","mitochondria","33.22","1.47","1","11.04","mitochondria","25.41","1.12","0","5.45","mitochondria","21.2","0.94","0","","mitochondria","mitochondria","24.2863","1.07839","0","3.23838","Mitochondrial phenylalanyl-tRNA synthetase, active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase"
"MSH1","YHR120W","mitochondria","21.35","4.93762","mitochondria","54.8966","mitochondria","23.8998","mitochondria","63.9162","#N/A","49.2095","mitochondria","21.15","0.99","0","8.54","mitochondria","21.82","1.02","0","3.87","mitochondria","19.57","0.91","0","","mitochondria","mitochondria","24.0425","1.12564","0","4.0161","DNA-binding protein of the mitochondria involved in repair of mitochondrial DNA, has ATPase activity and binds to DNA mismatches; has homology to E. coli MutS; transcription is induced during meiosis"
"MSK1","YNL073W","mitochondria","27.85","5.73838","mitochondria","50.0867","mitochondria","22.4303","mitochondria","104.787","#N/A","50.0279","mitochondria","31.48","1.13","0","10.82","mitochondria","27.55","0.98","0","3.94","mitochondria","24.71","0.88","0","","mitochondria","mitochondria","29.778","1.06894","0","5.72904","Mitochondrial lysine-tRNA synthetase, required for import of both aminoacylated and deacylated forms of tRNA(Lys) into mitochondria and for aminoacylation of mitochondrially encoded tRNA(Lys)"
"MSM1","YGR171C","mitochondria","23.13","5.37809","mitochondria","55.4434","mitochondria","22.8678","cytosol","87.9867","#N/A","35.8217","mitochondria","28.95","1.25","0","10.85","mitochondria","27.89","1.2","0","4.43","mitochondria","21.97","0.94","0","","mitochondria","mitochondria","28.8966","1.24891","0","3.34461","Mitochondrial methionyl-tRNA synthetase (MetRS), functions as a monomer in mitochondrial protein synthesis; functions similarly to cytoplasmic MetRS although the cytoplasmic form contains a zinc-binding domain not found in Msm1p"
"MSS1","YMR023C","mitochondria","16.67","4.35377","","","","","","","","","mitochondria","19.62","1.17","0","5.94","mitochondria","18.75","1.12","0","3.37","mitochondria","18.89","1.13","0","","mitochondria","mitochondria","64.5745","3.8711","1","5.73498","Mitochondrial protein, forms a heterodimer complex with Mto1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; similar to human GTPBP3"
"MSS116","YDR194C","mitochondria","22.67","4.60633","mitochondria","75.9032","mitochondria","22.2339","cytosol,mitochondria","97.3581","#N/A","62.5326","mitochondria","19.69","0.86","0","8.54","mitochondria","21.72","0.95","0","4.28","mitochondria","19.39","0.85","0","","mitochondria","mitochondria","","","0","","DEAD-box protein required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing"
"MSS18","YPR134W","mitochondria","16.92","4.28951","cytosol","59.878","vacuole","21.556","below threshold","67.0588","#N/A","0","mitochondria","19.28","1.13","0","5.79","mitochondria","17.53","1.03","0","3.26","mitochondria","21.84","1.29","0","","mitochondria","mitochondria","16.5439","0.977126","0","3.09124","Nuclear encoded protein needed for efficient splicing of mitochondrial COX1 aI5beta intron; mss18 mutations block cleavage of 5' exon - intron junction; phenotype of intronless strain suggests additional functions"
"MSS2","YDL107W","mitochondria","20.08","5.2635","mitochondria","70.0928","mitochondria","22.8464","below threshold","16.8144","#N/A","","mitochondria","15.03","0.74","0","5.52","mitochondria","16.27","0.81","0","3.39","mitochondria","24.09","1.19","0","","mitochondria","mitochondria","18.2851","0.910183","0","2.79269","Peripherally bound inner membrane protein of the mitochondrial matrix involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p"
"MSS51","YLR203C","mitochondria","74.68","19.3671","mitochondria","97.3948","mitochondria","25.1417","mitochondria","87.4724","#N/A","","mitochondria","91.72","1.22","0","31.32","vacuole membrane","70.02","0.93","0","10.58","mitochondria","64.22","0.85","0","","mitochondria","mitochondria","86.5387","1.15862","0","16.2368","Specific translational activator for the mitochondrial COX1 mRNA; loosely associated with the matrix face of the mitochondrial inner membrane; influences both COX1 mRNA translation and Cox1p assembly into cytochrome c oxidase"
"MSW1","YDR268W","mitochondria","23.8","6.07163","below threshold","13.5253","missing","19.2009","below threshold","","#N/A","","mitochondria","29.39","1.23","0","9.53","mitochondria","26.48","1.11","0","4.5","mitochondria","43.98","1.84","1","","mitochondria","mitochondria","23.2632","0.977189","0","3.69882","Mitochondrial tryptophanyl-tRNA synthetase"
"MSY1","YPL097W","mitochondria","28.42","6.53904","mitochondria","42.5473","missing","23.1799","below threshold","","#N/A","44.1213","mitochondria","29.18","1.02","0","13.55","mitochondria","27.95","0.98","0","5.78","mitochondria","23.06","0.81","0","","mitochondria","mitochondria","32.8435","1.15525","0","5.86564","Mitochondrial tyrosyl-tRNA synthetase"
"MTC3","YGL226W","mitochondria","21.29","4.65928","mitochondria","55.6376","mitochondria","29.8","cytosol,punctate","97.9609","#N/A","32.0541","mitochondria","19.57","0.91","0","6.21","mitochondria","16.48","0.77","-1","2.79","mitochondria","22.46","1.05","0","","mitochondria","mitochondria","16.6512","0.782018","0","2.28452","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; mtc3 is synthetically sick with cdc13-1"
"MTF2","YDL044C","mitochondria","29.67","6.60102","mitochondria","76.956","mitochondria","104.768","mitochondria","84.5941","#N/A","0","mitochondria","28.61","0.96","0","10.68","mitochondria","30.66","1.03","0","4.12","mitochondria","29.26","0.98","0","","mitochondria","mitochondria","30.6708","1.03352","0","4.76832","Mitochondrial matrix protein that interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing and translation to transcription"
"MTM1","YGR257C","mitochondria","17.95","4.98356","below threshold","0","mitochondria","20.2232","punctate,mitochondria","43.3322","mitochondria","27.7151","mitochondria","19.72","1.09","0","6.62","mitochondria","17.79","0.99","0","3.46","mitochondria","15.86","0.88","0","","mitochondria","mitochondria","16.4395","0.9156","0","2.31937","Mitochondrial protein of the mitochondrial carrier family, involved in activating mitochondrial Sod2p probably by facilitating insertion of an essential manganese cofactor"
"MTQ1","YNL063W","mitochondria","19.69","3.89326","cytosol,punctate,nucleus","30.6932","ambiguous,vacuole","16.3395","below threshold","0","#N/A","0","mitochondria","13.59","0.68","0","6.83","mitochondria","16.31","0.82","0","2.45","mitochondria","16.77","0.85","0","","mitochondria","mitochondria","22.4482","1.13955","0","2.8203","S-adenosylmethionine-dependent methyltransferase; methylates translational release factor Mrf1p; similar to E.coli PrmC; is not an essential gene"
"NAM2","YLR382C","mitochondria","22.13","","mitochondria","41.4285","mitochondria","","missing","6.38653","#N/A","26.9934","mitochondria","19.68","0.88","0","","mitochondria","19.79","0.89","0","","mitochondria","19.66","0.88","0","","","","","","","","Mitochondrial leucyl-tRNA synthetase, also has a direct role in splicing of several mitochondrial group I introns; indirectly required for mitochondrial genome maintenance"
"NAM9","YNL137C","mitochondria","39.25","","mitochondria","65.5736","missing","","missing","","#N/A","","mitochondria","41.94","1.06","0","","mitochondria","31.8","0.81","0","","mitochondria","29.36","0.74","0","","","","","","","","Mitochondrial ribosomal component of the small subunit"
"NCA2","YPR155C","mitochondria","25.57","","mitochondria","37.0558","missing","20.2946","mitochondria","","#N/A","23.7728","mitochondria","27.74","1.08","0","","mitochondria","28.47","1.11","0","","mitochondria","28.61","1.11","0","","","","","","","","Protein involved in regulation of mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; functions with Nca3p"
"NDE1","YMR145C","mitochondria","82.23","","mitochondria","185.125","mitochondria","65.6268","mitochondria","12.0665","#N/A","27.1061","mitochondria","66.82","0.81","0","","mitochondria","81.26","0.98","0","","mitochondria","41.18","0.5","-1","","","","","","","","Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain"
"NFS1","YCL017C","mitochondria","98.85","","mitochondria","151.632","missing","39.9972","mitochondria","","#N/A","","mitochondria","133.41","1.34","0","","mitochondria","79.44","0.8","0","","mitochondria","139.32","1.4","1","","","","","","","","Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis; required for the post-transcriptional thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria"
"NFU1","YKL040C","mitochondria","79.61","","mitochondria","122.798","mitochondria","45.2962","cytosol,mitochondria","119.39","#N/A","44.7551","mitochondria","87.04","1.09","0","","mitochondria","89.07","1.11","0","","mitochondria","70.18","0.88","0","","","","","","","","Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters of nitrogenase in nitrogen-fixing bacteria"
"NGL1","YOL042W","mitochondria","17.05","","punctate,mitochondria","88.382","mitochondria","22.2433","punctate","13.9304","#N/A","27.1014","mitochondria","","","","","mitochondria","19.84","1.16","0","","mitochondria","27.48","1.61","0","","","","","","","","Putative endonuclease, has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"NIF3","YGL221C","mitochondria","36.36","","cytosol","234.36","cytosol","46.4746","cytosol","306.456","cytosol","70.9659","mitochondria","40.09","1.1","0","","mitochondria","35.98","0.98","0","","mitochondria","26.97","0.74","0","","","","","","","","Protein of unknown function, similar to Listeria monocytogenes major sigma factor (rpoD gene product); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"NIT3","YLR351C","mitochondria","41.15","","cytosol","207.594","cytosol","28.1564","cytosol","342.875","#N/A","","mitochondria","47.71","1.15","0","","mitochondria","42.22","1.02","0","","mitochondria","54.77","1.33","0","","","","","","","","Nit protein, one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member"
"NUC1","YJL208C","mitochondria","28.76","","cytosol","45.1182","cytosol","29.6131","cytosol","20.3406","#N/A","0","mitochondria","19.45","0.67","-1","","mitochondria","27.06","0.94","0","","mitochondria","19.82","0.68","-1","","","","","","","","Major mitochondrial nuclease, has RNAse and DNA endo- and exonucleolytic activities; has roles in mitochondrial recombination, apoptosis and maintenance of polyploidy"
"OAR1","YKL055C","mitochondria","20.09","","cytosol","46.0763","cell periphery,vacuole","17.0473","below threshold","70.8272","#N/A","0","mitochondria","32.97","1.64","0","","mitochondria","19.7","0.98","0","","mitochondria","21.66","1.07","0","","","","","","","","Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase, may comprise a type II mitochondrial fatty acid synthase along with Mct1p"
"OMA1","YKR087C","mitochondria","18.45","","mitochondria","93.4096","mitochondria","25.7297","mitochondria","9.36176","#N/A","25.8327","mitochondria","17.48","0.94","0","","mitochondria","19.79","1.07","0","","mitochondria","18.66","1.01","0","","","","","","","","Metalloendopeptidase of the mitochondrial inner membrane, involved in turnover of membrane-embedded proteins; member of a family of predicted membrane-bound metallopeptidases in prokaryotes and higher eukaryotes"
"ORT1","YOR130C","mitochondria","18.85","","mitochondria","53.9475","mitochondria","31.9768","mitochondria","33.0078","#N/A","0","mitochondria","","","","","mitochondria","","","","","mitochondria","","","","","","","","","","","Ornithine transporter of the mitochondrial inner membrane, exports ornithine from mitochondria as part of arginine biosynthesis; human ortholog is associated with hyperammonaemia-hyperornithinaemia-homocitrullinuria (HHH) syndrome"
"OSM1","YJR051W","mitochondria","21.65","","mitochondria","64.819","mitochondria","35.1222","ER,punctate","105.348","#N/A","60.6574","mitochondria","21.78","1","0","","mitochondria","17.99","0.83","0","","mitochondria","22.18","1.02","0","","","","","","","","Fumarate reductase, catalyzes the reduction of fumarate to succinate, required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity"
"PAD1","YDR538W","mitochondria","20.2","","mitochondria","128.84","mitochondria","20.1363","mitochondria","232.656","#N/A","44.9581","mitochondria","21.66","1.07","0","","mitochondria","16.57","0.82","0","","mitochondria","20.85","1.03","0","","","","","","","","Phenylacrylic acid decarboxylase, confers resistance to cinnamic acid, decarboxylates aromatic carboxylic acids to the corresponding vinyl derivatives; homolog of E. coli UbiX"
"PAM16","YJL104W","mitochondria","89.62","","mitochondria","72.4885","missing","","missing","","#N/A","0","mitochondria","87.72","0.97","0","","mitochondria","61.01","0.68","0","","mitochondria","61.52","0.68","0","","","","","","","","Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains a J-like domain"
"PCP1","YGR101W","mitochondria","19.12","","mitochondria","101.751","mitochondria","41.0559","mitochondria","55.7833","#N/A","29.1386","mitochondria","19.52","1.02","0","","mitochondria","16.09","0.84","0","","mitochondria","17.25","0.9","0","","","","","","","","Mitochondrial serine protease required for the processing of various mitochondrial proteins and maintenance of mitochondrial DNA and morphology; belongs to the rhomboid-GlpG superfamily of intramembrane peptidases"
"PDH1","YPR002W","mitochondria","23.27","","cytosol","104.821","cell periphery,vacuole","22.5606","cytosol","0","#N/A","0","mitochondria","23.06","0.99","0","","mitochondria","21.75","0.93","0","","mitochondria","15.01","0.64","-1","","","","","","","","Mitochondrial protein that participates in respiration, induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate"
"PET100","YDR079W","mitochondria","21.23","","mitochondria","94.875","mitochondria","17.8099","below threshold","191.585","#N/A","33.1406","mitochondria","23.47","1.1","0","","mitochondria","27.85","1.31","0","","mitochondria","23.95","1.12","0","","","","","","","","Chaperone that specifically facilitates the assembly of cytochrome c oxidase, integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme"
"PET112","YBL080C","mitochondria","19.01","","mitochondria","60.9809","missing","0","missing","0","#N/A","28.4273","mitochondria","21.77","1.14","0","","mitochondria","18.75","0.98","0","","mitochondria","20.17","1.06","0","","","","","","","","Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog"
"PET123","YOR158W","mitochondria","54.83","","nucleus","55.8944","cell periphery,vacuole","20.4243","below threshold","","#N/A","0","mitochondria","60.52","1.1","0","","mitochondria","70","1.27","0","","mitochondria","61.64","1.12","0","","","","","","","","Mitochondrial ribosomal protein of the small subunit; PET123 exhibits genetic interactions with PET122, which encodes a COX3 mRNA-specific translational activator"
"PET20","YPL159C","mitochondria","16.43","","mitochondria","83.7066","mitochondria","21.4744","mitochondria","9.20608","#N/A","25.3727","mitochondria","18.86","1.14","0","","mitochondria","17.15","1.04","0","","mitochondria","17.01","1.03","0","","","","","","","","Mitochondrial protein, required for respiratory growth under some conditions and for stability of the mitochondrial genome"
"PET309","YLR067C","mitochondria","21.15","","mitochondria","29.9967","mitochondria","0","missing","26.7571","#N/A","26.5999","mitochondria","18.52","0.87","0","","mitochondria","17.11","0.8","-1","","mitochondria","18.91","0.89","0","","","","","","","","Specific translational activator for the COX1 mRNA, also influences stability of intron-containing COX1 primary transcripts; localizes to the mitochondrial inner membrane; contains seven pentatricopeptide repeats (PPRs)"
"PET494","YNR045W","mitochondria","16.79","","mitochondria","37.6298","missing","15.1603","below threshold","0","#N/A","24.2431","mitochondria","17.24","1.02","0","","mitochondria","17.49","1.04","0","","mitochondria","18.49","1.1","0","","","","","","","","Mitochondrial translational activator specific for the COX3 mRNA, acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane"
"PET8","YNL003C","mitochondria","18.1","","mitochondria","45.6675","mitochondria","21.2656","punctate,mitochondria","44.1772","#N/A","0","mitochondria","21.71","1.19","0","","mitochondria","16.54","0.91","0","","mitochondria","18.84","1.04","0","","","","","","","","S-adenosylmethionine transporter of the mitochondrial inner membrane, member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth"
"PHB1","YGR132C","mitochondria","36.05","","cytosol,punctate","62.9254","cytosol","24.8175","punctate","26.2722","#N/A","0","mitochondria","35.75","0.99","0","","mitochondria","35.95","0.99","0","","mitochondria","30.61","0.84","0","","","","","","","","Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation"
"PIC2","YER053C","mitochondria","26.16","","mitochondria","76.1177","below threshold","26.3194","mitochondria","0","#N/A","0","mitochondria","25.57","0.97","0","","mitochondria","26.38","1","0","","mitochondria","44.83","1.71","1","","","","","","","","Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature"
"PIM1","YBL022C","mitochondria","17.36","","mitochondria","103.114","mitochondria","57.648","cytosol","117.934","#N/A","28.032","mitochondria","19.34","1.11","0","","mitochondria","17.98","1.03","0","","mitochondria","18.44","1.06","0","","","","","","","","ATP-dependent Lon protease, involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria"
"PKP1","YIL042C","mitochondria","27.35","","cytosol","24.3918","below threshold","19.3674","below threshold","7.94303","#N/A","0","mitochondria","22.64","0.82","0","","vacuole","29.84","1.09","0","","mitochondria","40.73","1.48","1","","","","","","","","Mitochondrial protein kinase involved in negative regulation of pyruvate dehydrogenase complex activity by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp2p and phosphatases Ptc5p and Ptc6p"
"POR1","YNL055c","mitochondria","83.02","37.6137","cytosol,punctate","186.827","punctate","0","missing","32.247","mitochondria","39.4137","mitochondria","66.47","0.8","0","50.02","mitochondria","63.74","0.76","0","19.34","mitochondria","85.03","1.02","0","","mitochondria","mitochondria","46.4625","0.559621","-1","13.7329","Mitochondrial porin (voltage-dependent anion channel), outer membrane protein required for the maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; phosphorylated"
"PRX1","YBL064C","mitochondria","64.52","23.044","mitochondria","272.061","mitochondria","76.1807","mitochondria","328.18","#N/A","72.4121","mitochondria","120.68","1.87","1","69.21","mitochondria","75.45","1.16","0","18.83","mitochondria","237.88","3.68","1","","mitochondria","mitochondria","91.7263","1.42147","1","33.5753","Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated"
"PSD1","YNL169C","mitochondria","23.32","6.84264","mitochondria","128.299","missing","54.9938","mitochondria","","#N/A","27.2571","mitochondria","16.91","0.72","-1","5.79","mitochondria","19.13","0.82","0","3.78","mitochondria","15.62","0.66","-1","","mitochondria","mitochondria","19.3037","0.827542","0","3.1552","Phosphatidylserine decarboxylase of the mitochondrial inner membrane, converts phosphatidylserine to phosphatidylethanolamine"
"PTC6","YCR079W","mitochondria","20.04","4.36157","cytosol","40.2618","cytosol","21.8645","below threshold","22.2372","below threshold","27.3801","mitochondria","21.2","1.05","0","8.22","mitochondria","19.8","0.98","0","3.55","mitochondria","19.04","0.95","0","","mitochondria","mitochondria","21.5577","1.07555","0","3.41859","Mitochondrial protein phosphatase of type 2C with similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase"
"PTH1","YHR189W","mitochondria","17.57","5.41444","nucleus","103.59","nucleus","68.6218","nucleus","116.523","#N/A","","mitochondria","17.45","0.99","0","6.11","mitochondria","19.46","1.1","0","3.97","mitochondria","18.03","1.02","0","","mitochondria","mitochondria","16.7318","0.951934","0","2.58287","One of two (see also PTH2) mitochondrially-localized peptidyl-tRNA hydrolases; dispensable for respiratory growth on rich medium, but required for respiratory growth on minimal medium"
"PUT1","YLR142W","mitochondria","27.93","8.89893","mitochondria","53.1186","mitochondria","22.3218","mitochondria","63.3397","#N/A","43.4804","mitochondria","39.46","1.41","1","22.36","mitochondria","38.39","1.37","1","11.07","mitochondria","1258.2","45.04","1","","mitochondria","mitochondria","26.9208","0.963804","0","5.95464","Proline oxidase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source"
